================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۳_۱۸۰۰۳۴.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 5687
================================================================================

[00:38:26.092 --> 00:38:29.332] doctor
[00:38:32.555 --> 00:38:35.035] doctor
[00:38:35.845 --> 00:38:39.254] doctor
[00:38:53.092 --> 00:38:54.610] doctor
[00:38:57.530 --> 00:38:58.323] doctor
[00:39:25.677 --> 00:39:26.487] doctor
[00:39:28.765 --> 00:39:31.634] doctor
[00:39:39.413 --> 00:39:41.354] doctor
[00:39:41.894 --> 00:39:43.565] doctor
[00:39:51.614 --> 00:39:57.098] doctor
[00:39:58.634 --> 00:39:59.967] doctor
[00:40:00.031 --> 00:40:01.499] doctor
[00:40:05.701 --> 00:40:08.857] doctor
[00:40:07.102 --> 00:40:08.030] patient_1
[00:40:09.835 --> 00:40:11.489] doctor
[00:40:11.928 --> 00:40:13.919] doctor
[00:40:14.003 --> 00:40:16.400] doctor
[00:40:16.957 --> 00:40:20.770] doctor
[00:40:21.125 --> 00:40:22.728] doctor
[00:40:24.128 --> 00:40:24.787] doctor
[00:40:25.276 --> 00:40:25.799] doctor
[00:40:26.322 --> 00:40:27.740] doctor
[00:40:27.858 --> 00:40:30.760] doctor
[00:40:31.199 --> 00:40:35.671] doctor
[00:40:31.908 --> 00:40:32.583] patient_1
[00:40:33.713 --> 00:40:34.152] patient_1
[00:40:36.346 --> 00:40:38.675] doctor
[00:40:38.877 --> 00:40:39.822] doctor
[00:40:40.379 --> 00:40:43.990] doctor
[00:40:49.323 --> 00:40:50.875] doctor
[00:40:51.500 --> 00:40:55.988] doctor
[00:40:56.073 --> 00:40:59.110] doctor
[00:41:01.186 --> 00:41:01.996] doctor
[00:41:02.755 --> 00:41:04.156] doctor
[00:41:04.460 --> 00:41:11.277] doctor
[00:41:26.819 --> 00:41:32.708] doctor
[00:41:30.700 --> 00:41:31.072] patient_1
[00:41:34.042 --> 00:41:36.202] doctor
