================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۴_۱۸۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 5386
================================================================================

[00:33:55.302 --> 00:33:55.876] doctor
[00:33:57.310 --> 00:33:58.711] doctor
[00:33:59.352 --> 00:34:10.321] doctor
[00:34:01.968 --> 00:34:02.525] patient_1
[00:34:04.415 --> 00:34:06.372] patient_1
[00:34:07.688 --> 00:34:09.967] patient_1
[00:34:10.540 --> 00:34:23.028] doctor
[00:34:10.692 --> 00:34:13.342] patient_1
[00:34:13.645 --> 00:34:17.594] patient_1
[00:35:38.624 --> 00:35:42.202] patient_2
[00:36:04.257 --> 00:36:04.662] patient_2
[00:36:04.662 --> 00:36:20.812] doctor
[00:36:05.033 --> 00:36:06.198] patient_2
[00:36:06.839 --> 00:36:13.049] patient_2
[00:36:13.049 --> 00:36:14.213] patient_1
[00:36:19.546 --> 00:36:27.713] patient_1
[00:36:27.342 --> 00:36:31.898] doctor
[00:36:28.979 --> 00:36:30.447] patient_1
[00:36:31.898 --> 00:36:49.043] patient_3
[00:36:49.313 --> 00:37:01.025] patient_3
[00:36:51.068 --> 00:36:52.216] patient_2
[00:37:01.025 --> 00:37:10.036] patient_1
[00:37:10.036 --> 00:37:11.420] patient_3
[00:37:12.567 --> 00:37:22.692] patient_3
[00:37:40.040 --> 00:37:42.773] patient_2
[00:37:42.875 --> 00:37:45.035] patient_2
[00:37:45.338 --> 00:37:47.752] patient_2
[00:38:07.023 --> 00:38:07.799] patient_2
[00:38:07.276 --> 00:38:07.748] patient_3
[00:38:07.799 --> 00:38:08.710] patient_3
[00:38:09.098 --> 00:38:14.110] patient_2
[00:38:14.515 --> 00:38:15.275] patient_2
[00:39:59.393 --> 00:39:59.967] patient_2
[00:40:00.031 --> 00:40:03.035] doctor
[00:40:07.473 --> 00:40:11.303] doctor
[00:40:11.793 --> 00:40:30.457] doctor
[00:40:30.710 --> 00:40:35.047] doctor
[00:41:03.869 --> 00:41:06.940] patient_1
[00:41:07.717 --> 00:41:15.732] patient_1
[00:41:19.293 --> 00:41:21.031] patient_1
[00:41:21.098 --> 00:41:22.027] patient_1
[00:41:25.283 --> 00:41:26.262] patient_1
[00:41:26.330 --> 00:41:26.718] patient_1
[00:41:30.076 --> 00:41:32.033] patient_1
[00:41:32.675 --> 00:41:35.341] patient_1
[00:42:08.213 --> 00:42:08.568] doctor
