================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۱_۱۸۰۰۱۸.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2822
================================================================================

[01:02:45.035 --> 01:02:45.490] patient_1
[01:02:49.338 --> 01:02:53.472] patient_1
[01:02:55.885 --> 01:02:56.341] patient_1
[01:02:58.670 --> 01:03:11.225] doctor
[01:03:11.292 --> 01:03:12.102] doctor
[01:03:12.777 --> 01:03:19.308] doctor
[01:03:20.152 --> 01:03:20.978] doctor
[01:03:20.978 --> 01:03:22.784] patient_1
[01:03:23.948 --> 01:04:03.487] patient_1
[01:03:47.945 --> 01:03:48.603] doctor
[01:04:00.078 --> 01:04:03.436] doctor
[01:04:03.487 --> 01:04:07.975] doctor
[01:04:06.946 --> 01:04:09.629] patient_1
[01:04:09.629 --> 01:04:15.586] doctor
[01:04:33.912 --> 01:04:39.245] patient_1
[01:04:39.498 --> 01:04:41.101] patient_1
[01:05:00.031 --> 01:05:03.119] doctor
[01:05:03.203 --> 01:05:08.367] doctor
[01:05:04.908 --> 01:05:06.089] patient_1
[01:05:06.376 --> 01:05:06.882] patient_1
[01:05:07.709 --> 01:05:08.198] patient_1
[01:05:08.722 --> 01:05:10.055] doctor
[01:05:11.523 --> 01:05:14.054] doctor
[01:05:14.982 --> 01:05:16.940] doctor
[01:05:24.263 --> 01:05:31.739] doctor
[01:05:27.301 --> 01:05:28.600] patient_1
[01:05:31.030 --> 01:05:31.402] patient_1
[01:05:31.975 --> 01:05:32.482] doctor
[01:05:32.785 --> 01:05:35.823] doctor
[01:05:34.068 --> 01:05:35.502] patient_1
[01:05:37.190 --> 01:05:38.540] doctor
[01:05:39.535 --> 01:05:40.632] doctor
[01:05:42.472 --> 01:05:43.383] doctor
[01:05:44.075 --> 01:05:45.273] doctor
[01:05:51.095 --> 01:05:52.242] doctor
[01:06:00.764 --> 01:06:08.729] doctor
[01:06:09.320 --> 01:06:11.243] doctor
[01:06:12.003 --> 01:06:19.681] doctor
[01:06:20.710 --> 01:06:22.162] doctor
[01:06:23.393 --> 01:06:24.423] doctor
[01:06:24.710 --> 01:06:26.060] doctor
[01:06:27.629 --> 01:06:57.397] doctor
[01:06:58.426 --> 01:07:04.535] doctor
[01:07:05.513 --> 01:07:17.174] doctor
[01:07:20.718 --> 01:07:22.895] doctor
[01:07:24.397 --> 01:07:29.628] doctor
[01:07:32.260 --> 01:07:34.690] doctor
[01:07:42.622 --> 01:07:44.798] doctor
[01:07:45.963 --> 01:07:48.427] doctor
[01:07:49.743 --> 01:07:54.097] doctor
[01:07:56.847 --> 01:08:19.983] doctor
[01:08:11.731 --> 01:08:12.980] patient_1
